index,room_id,host_id,room_type,country,city,neighborhood,address,reviews,overall_satisfaction,accommodates,bedrooms,bathrooms,price,deleted,minstay,last_modified,latitude,longitude,survey_id,location,coworker_hosted,extra_host_languages,name,property_type,currency,rate_type
145,14851767,478785,Private room,,,,"Buenos Aires, Ciudad Autónoma de Buenos Aires, Argentina",4,5.0,1,1.0,2.0,202.0,0,,2018-02-08T16:58:35Z,-34.604055,-58.391172,1,0101000020E6100000328E91EC11324DC01EFE9AAC514D41C0,,,Pequeña habitación con baño privado,Condominium,ARS,nightly
146,8932893,43302054,Private room,,,,"Buenos Aires, Ciudad Autónoma de Buenos Aires, Argentina",6,5.0,1,1.0,1.0,202.0,0,,2018-02-08T17:07:27Z,-34.562132,-58.449152,1,0101000020E61000006C770FD07D394DC07D04FEF0F34741C0,,,Dormitorio en dpto. Zona Belgrano c/baño priv.,Apartment,ARS,nightly
147,5102726,26364693,Private room,,,,"Buenos Aires, Ciudad Autónoma de Buenos Aires, Argentina",1,,1,1.0,2.0,303.0,0,,2018-02-08T18:32:59Z,-34.627797,-58.383449,1,0101000020E61000008A5759DB14314DC072C3EFA65B5041C0,,,Unplugged from the matrix,Apartment,ARS,nightly
148,21504016,103261967,Private room,,,,"Flores, Buenos Aires, Argentina",5,5.0,2,1.0,1.0,222.0,0,,2018-02-08T17:16:23Z,-34.620735,-58.45984,1,0101000020E610000042B28009DC3A4DC0C53D963E744F41C0,,,Hermosa Casa en Flores: Inspiración y relax,House,ARS,nightly
149,19504956,133633134,Private room,,,,"Flores, Buenos Aires, Argentina",7,4.5,1,2.0,3.0,222.0,0,,2018-02-08T22:17:46Z,-34.626739,-58.466751,1,0101000020E61000000A302C7FBE3B4DC05A10CAFB385041C0,,,"Habitacion Individual, Flores, Casa familiar",House,ARS,nightly
150,18137095,21745355,Private room,,,,"Buenos Aires, Ciudad Autónoma de Buenos Aires, Argentina",0,,1,1.0,1.0,283.0,0,,2018-02-08T17:16:23Z,-34.601234,-58.39146,1,0101000020E610000099D87C5C1B324DC0239F573CF54C41C0,,,Location Location,Apartment,ARS,nightly
151,19446334,13861281,Private room,,,,"Parque Avellaneda, Buenos Aires, Argentina",0,,2,1.0,1.0,222.0,0,,2018-02-08T22:17:46Z,-34.64202,-58.468964,1,0101000020E61000002C802903073C4DC060B01BB62D5241C0,,,"Hermoso, intimo y silencio espacio de refugio.",Guesthouse,ARS,nightly
152,4734843,24445130,Private room,,,,"Buenos Aires, Ciudad Autónoma de Buenos Aires, Argentina",2,,1,1.0,1.0,303.0,0,,2018-02-08T17:24:22Z,-34.614597,-58.382335,1,0101000020E6100000DE8E705AF0304DC0209C4F1DAB4E41C0,,,Casa y residencia de arte en Montserrat,House,ARS,nightly
153,19437737,136276414,Private room,,,,"Caballito, Buenos Aires, Argentina",1,,1,1.0,1.0,303.0,0,,2018-02-08T22:17:46Z,-34.628673,-58.44646,1,0101000020E6100000707CED9925394DC069705B5B785041C0,,,Habitacion privada en luminoso dpto en Caballito,Apartment,ARS,nightly
154,9735561,38036656,Private room,,,,"Buenos Aires, Ciudad Autónoma de Buenos Aires, Argentina",3,5.0,2,1.0,1.0,262.0,0,,2018-02-08T18:20:59Z,-34.618707,-58.389349,1,0101000020E61000007BDD2230D6314DC034677DCA314F41C0,,,Room #2 at Casa Solis Art House =),House,ARS,nightly
